episode,return,length,mean_goal_error,success_ratio,op_delta_damage_sum,self_delta_damage_sum
92,47.041464991518296,301,0.0677924244556316,0.5083056478405316,0.0,0.0
93,36.880531875525776,297,0.08354528025043532,0.39730639730639733,0.0,0.0
94,48.834353255457245,288,0.07319128953127398,0.5590277777777778,0.0,0.0
95,39.19981552113313,300,0.0800787732253472,0.43,0.0,0.0
96,42.78322015830781,292,0.07288148960940642,0.4726027397260274,0.0,0.0
97,51.4578799707524,295,0.06623968431505106,0.5694915254237288,0.0,0.0
98,51.8445844254602,292,0.06775479401423506,0.5821917808219178,0.0,0.0
99,40.03136475500651,293,0.07886338236490614,0.44368600682593856,0.0,0.0
100,59.67541613211142,294,0.05636613448562265,0.6632653061224489,0.0,0.0
101,34.23344329057727,297,0.08119070572584165,0.367003367003367,0.0,0.0
102,41.334177957793145,292,0.0779385339111498,0.4520547945205479,0.0,0.0
103,49.44114031631034,290,0.06490353813459133,0.5551724137931034,0.0,0.0
104,48.54173107058887,291,0.06306041088403296,0.5395189003436426,0.0,0.0
105,44.16288664944295,294,0.06818292614351325,0.4897959183673469,0.0,0.0
106,58.12583605048712,300,0.06521490663290024,0.64,0.0,0.0
107,57.83054160318352,287,0.06222327918021937,0.6655052264808362,0.0,0.0
108,38.672346868536806,291,0.0730831213935544,0.41924398625429554,0.0,0.0
109,54.069106420560274,298,0.06281832473090031,0.5939597315436241,0.0,0.0
110,44.51942899754795,295,0.07670966992943974,0.4847457627118644,0.0,0.0
111,43.576258300978225,299,0.08057331647661617,0.47491638795986624,0.0,0.0
112,48.89467359340051,296,0.06656530051416643,0.5371621621621622,0.0,0.0
113,54.09590033245331,299,0.06567909785337671,0.5986622073578596,0.0,0.0
114,33.56591237721295,296,0.08591090094902225,0.375,0.0,0.0
115,41.071333076863084,287,0.07687130227736895,0.4564459930313589,0.0,0.0
116,53.6566710624611,297,0.06386935522761007,0.5858585858585859,0.0,0.0
117,39.52487184548227,289,0.07518589607468938,0.4463667820069204,0.0,0.0
118,48.99257481889799,289,0.06955394473661601,0.5536332179930796,0.0,0.0
119,40.87935011018999,298,0.08839999901868353,0.4463087248322148,0.0,0.0
120,32.227072387351654,292,0.08672804074132279,0.3664383561643836,0.0,0.0
121,51.96382202111636,300,0.072444142177701,0.5766666666666667,0.0,0.0
122,57.02804818365257,294,0.06340403971420665,0.6394557823129252,0.0,0.0
123,45.421811657142825,294,0.07668826270367013,0.5034013605442177,0.0,0.0
124,50.196892894629855,293,0.06845554910320471,0.5460750853242321,0.0,0.0
125,44.86457616579719,296,0.07922387848029265,0.49324324324324326,0.0,0.0
126,49.894109916873276,299,0.074579739625438,0.5451505016722408,0.0,0.0
127,41.33453786739119,298,0.0777802866627306,0.44966442953020136,0.0,0.0
128,49.0144377930701,294,0.07967819762574573,0.54421768707483,0.0,0.0
129,32.360298388830415,291,0.08245892623036179,0.35738831615120276,0.0,0.0
130,47.63341078927624,288,0.06644253409467638,0.5381944444444444,0.0,0.0
131,45.980559877181804,286,0.07341107173816308,0.5244755244755245,0.0,0.0
132,43.94128446653485,299,0.07430752473930052,0.47157190635451507,0.0,0.0
133,46.23360492795109,292,0.06248801084209795,0.5171232876712328,0.0,0.0
134,44.11602078695341,302,0.07639688884975104,0.4768211920529801,0.0,0.0
135,52.51377486514684,292,0.05882292705243581,0.5821917808219178,0.0,0.0
136,68.66953102589468,297,0.047347774961179354,0.7643097643097643,0.0,0.0
