episode,return,length,mean_goal_error,success_ratio,op_delta_damage_sum,self_delta_damage_sum
1,39.95662519708276,297,0.07225352051583203,0.5656565656565656,0.0,0.0
2,22.40964588150382,299,0.09990738743424017,0.41471571906354515,0.0,0.0
3,23.458771038800478,298,0.09298503358892146,0.4161073825503356,0.0,0.0
4,44.260944217443466,293,0.06721487631163092,0.6040955631399317,0.0,0.0
5,15.890317533165216,292,0.08732109618921803,0.3184931506849315,0.0,0.0
6,34.03496041148901,298,0.07165305496462239,0.4899328859060403,0.0,0.0
