episode,return,length,mean_goal_error,success_ratio,op_delta_damage_sum,self_delta_damage_sum
1,-1567.7730820178986,1265,0.09367569308035929,0.13280632411067195,0.0,0.0
2,-1.2881579399108887,1,0.16101974248886108,0.0,0.0,0.0
3,-0.29307031631469727,1,0.03663378953933716,0.0,0.0,0.0
4,-0.5435147285461426,1,0.06793934106826782,0.0,0.0,0.0
5,-1.6360464096069336,1,0.2045058012008667,0.0,0.0,0.0
6,1.9439139366149902,1,0.007010757923126221,1.0,0.0,0.0
7,-0.48358964920043945,1,0.06044870615005493,0.0,0.0,0.0
8,-2.4225502014160156,1,0.05281877517700195,0.0,0.0,0.0
9,-0.645024299621582,1,0.08062803745269775,0.0,0.0,0.0
10,-2.298815965652466,1,0.2873519957065582,0.0,0.0,0.0
11,-0.7166178226470947,1,0.08957722783088684,0.0,0.0,0.0
12,-0.7784876823425293,1,0.09731096029281616,0.0,0.0,0.0
13,-2.7335758209228516,1,0.09169697761535645,0.0,0.0,0.0
14,-0.5350866317749023,1,0.06688582897186279,0.0,0.0,0.0
15,-0.2591395378112793,1,0.03239244222640991,0.0,0.0,0.0
16,-0.34461212158203125,1,0.043076515197753906,0.0,0.0,0.0
17,-1606.672492980957,1265,0.09545786948543292,0.1359683794466403,0.0,0.0
18,-0.5593671798706055,1,0.06992089748382568,0.0,0.0,0.0
19,-0.5660431385040283,1,0.07075539231300354,0.0,0.0,0.0
20,-0.9025683403015137,1,0.11282104253768921,0.0,0.0,0.0
21,-0.5294647216796875,1,0.06618309020996094,0.0,0.0,0.0
22,1.976240634918213,1,0.0029699206352233887,1.0,0.0,0.0
23,-0.9820976257324219,1,0.12276220321655273,0.0,0.0,0.0
24,-2.454556941986084,1,0.0568196177482605,0.0,0.0,0.0
25,-2.478771686553955,1,0.059846460819244385,0.0,0.0,0.0
26,-0.24479341506958008,1,0.03059917688369751,0.0,0.0,0.0
27,-0.5637288093566895,1,0.07046610116958618,0.0,0.0,0.0
28,-2.350520133972168,1,0.043815016746520996,0.0,0.0,0.0
29,-2.4466047286987305,1,0.05582559108734131,0.0,0.0,0.0
30,-0.8286938667297363,1,0.10358673334121704,0.0,0.0,0.0
31,-0.4858577251434326,1,0.06073221564292908,0.0,0.0,0.0
32,-2.2563228607177734,1,0.03204035758972168,0.0,0.0,0.0
33,-1157.3805046081543,1265,0.08450466446254565,0.25296442687747034,0.0,0.0
34,-0.8155868053436279,1,0.10194835066795349,0.0,0.0,0.0
35,-2.8791370391845703,1,0.10989212989807129,0.0,0.0,0.0
36,-0.9990737438201904,1,0.1248842179775238,0.0,0.0,0.0
37,-0.8810081481933594,1,0.11012601852416992,0.0,0.0,0.0
38,-1.166581153869629,1,0.1458226442337036,0.0,0.0,0.0
39,-0.5505383014678955,1,0.06881728768348694,0.0,0.0,0.0
40,-0.5783908367156982,1,0.07229885458946228,0.0,0.0,0.0
41,-0.10554361343383789,1,0.013192951679229736,1.0,0.0,0.0
42,-0.2970271110534668,1,0.03712838888168335,0.0,0.0,0.0
43,-0.09502863883972168,1,0.01187857985496521,1.0,0.0,0.0
44,-0.2668588161468506,1,0.03335735201835632,0.0,0.0,0.0
45,-0.11109685897827148,1,0.013887107372283936,1.0,0.0,0.0
46,-3.0,1,0.14296796917915344,0.0,0.0,0.0
47,-0.4290604591369629,1,0.05363255739212036,0.0,0.0,0.0
48,-2.9917168617248535,1,0.12396460771560669,0.0,0.0,0.0
49,-1204.1358675956726,1265,0.08639973948595552,0.28221343873517785,0.0,0.0
50,-0.365337610244751,1,0.04566720128059387,0.0,0.0,0.0
51,-2.2855563163757324,1,0.03569453954696655,0.0,0.0,0.0
52,1.8043341636657715,1,0.024458229541778564,1.0,0.0,0.0
53,1.8844311237335205,1,0.014446109533309937,1.0,0.0,0.0
54,-2.607205390930176,1,0.07590067386627197,0.0,0.0,0.0
