episode,return,length,mean_goal_error,success_ratio,episode_success,op_delta_damage_sum,self_delta_damage_sum
26,-186.55547258257866,226,0.8186082876889051,0.0,0.0,0.0,0.0
27,-1.402495801448822,2,0.20124787092208862,0.0,0.0,0.0,0.0
28,-1.5687620341777802,2,0.2843810021877289,0.0,0.0,0.0,0.0
29,-1.7369950115680695,2,0.3684975206851959,0.0,0.0,0.0,0.0
30,-1.6261391341686249,2,0.31306955218315125,0.0,0.0,0.0,0.0
31,-145.8147147744894,379,0.3803554492606966,0.0,0.0,0.0,0.0
32,-1.605778157711029,2,0.30288904905319214,0.0,0.0,0.0,0.0
33,-1.570698320865631,2,0.28534919023513794,0.0,0.0,0.0,0.0
34,-1.2099907398223877,2,0.10499536991119385,0.0,0.0,0.0,0.0
35,1.9308969974517822,1,0.06910306215286255,1.0,1.0,0.0,0.0
36,1.9608837366104126,1,0.039116233587265015,1.0,1.0,0.0,0.0
37,-246.1418817937374,358,0.6833851458140592,0.0,0.0,0.0,0.0
38,-1.474094182252884,2,0.23704710602760315,0.0,0.0,0.0,0.0
39,1.9077082872390747,1,0.09229174256324768,1.0,1.0,0.0,0.0
40,-1.7494454681873322,2,0.37472274899482727,0.0,0.0,0.0,0.0
41,-192.09108754992485,276,0.6904387248383053,0.0,0.0,0.0,0.0
42,-1.4840837121009827,2,0.24204188585281372,0.0,0.0,0.0,0.0
43,-1.543605774641037,2,0.2718028724193573,0.0,0.0,0.0,0.0
44,-1.8703798949718475,2,0.4351899325847626,0.0,0.0,0.0,0.0
45,-1.2928376495838165,2,0.14641883969306946,0.0,0.0,0.0,0.0
46,-199.92634814977646,332,0.5976697247789566,0.0,0.0,0.0,0.0
47,1.9529629945755005,1,0.0470370352268219,1.0,1.0,0.0,0.0
48,-1.557634323835373,2,0.27381715178489685,0.0,0.0,0.0,0.0
49,-1.9290492534637451,2,0.46452462673187256,0.0,0.0,0.0,0.0
50,-2.0808920860290527,2,0.5404460430145264,0.0,0.0,0.0,0.0
51,1.905261516571045,1,0.09473851323127747,1.0,1.0,0.0,0.0
52,-97.57618730515242,215,0.46077296595240747,1.0,1.0,0.0,0.0
53,-45.38414579629898,59,0.7522736575643895,0.0,0.0,0.0,0.0
